relative_time,volatility_std
-60.0,0.0016973685401736156
-59.0,0.0019180218478049506
-58.0,0.001283297606069379
-57.0,0.0011643152490833982
-56.0,0.0013776703615835583
-55.0,0.0013643165668469073
-54.0,0.0010696516940642432
-53.0,0.00124651777001407
-52.0,0.0013641728243110776
-51.0,0.0016505177461341699
-50.0,0.0013894305340097798
-49.0,0.001375214591966122
-48.0,0.0013528195762774976
-47.0,0.0011253546111430644
-46.0,0.0013220031732525306
-45.0,0.0012270707696129231
-44.0,0.0027230053902219005
-43.0,0.001507752332038659
-42.0,0.0012257363772006982
-41.0,0.0016398686312217988
-40.0,0.0017077369749527917
-39.0,0.002723384852680217
-38.0,0.001443383637683743
-37.0,0.001146944149616001
-36.0,0.0018301333122277897
-35.0,0.0022797936880417776
-34.0,0.001455928109595385
-33.0,0.0016802631336883935
-32.0,0.0029552183768286862
-31.0,0.004530497078241645
-30.0,0.020836676409455173
-29.0,0.01390606477582747
-28.0,0.009461696791363765
-27.0,0.006954118448183357
-26.0,0.009042034771738575
-25.0,0.007715831956176215
-24.0,0.007306098684719662
-23.0,0.008366573120431025
-22.0,0.008943042474112851
-21.0,0.006931563133474511
-20.0,0.00655113238974113
-19.0,0.005789446294995132
-18.0,0.004595943942702941
-17.0,0.0049358355027975895
-16.0,0.004597381860068509
-15.0,0.00598992516816166
-14.0,0.005179910788679813
-13.0,0.004190572456320633
-12.0,0.004012533717607257
-11.0,0.0038394199670586985
-10.0,0.004505340732510678
-9.0,0.0037291814356036584
-8.0,0.003892007469751751
-7.0,0.003747788218896575
-6.0,0.0036317524839689862
-5.0,0.003803549631177276
-4.0,0.0035661477134460236
-3.0,0.0038238770696064424
-2.0,0.004065788529616052
-1.0,0.0038622932749892832
0.0,0.005383420953563233
1.0,0.008951345407497457
2.0,0.006517352892035379
3.0,0.007822634889476338
4.0,0.01095961124457247
5.0,0.007140331931387146
6.0,0.006510393834423223
7.0,0.008487483245148324
8.0,0.011983911545057077
9.0,0.008114948386324124
10.0,0.008846354770882657
11.0,0.008956550613274359
12.0,0.00890477271223758
13.0,0.009477121610871409
14.0,0.007040105643618029
15.0,0.0067479917122299305
16.0,0.0072788076742717955
17.0,0.007751327561339771
18.0,0.008593017083365365
19.0,0.010381799241234045
20.0,0.006867781670427701
21.0,0.006483640249117679
22.0,0.007923473490272556
23.0,0.006134056388867312
24.0,0.005954060217931803
25.0,0.006056958057379083
26.0,0.006680848512030461
27.0,0.006994734246021178
28.0,0.00585295894320281
29.0,0.004633324116503313
30.0,0.007808595621017741
31.0,0.005433206684780466
32.0,0.006599777698426389
33.0,0.0049361496146230486
34.0,0.004877037272179087
35.0,0.006707071743514641
36.0,0.006408590843317778
37.0,0.0051659750189672025
38.0,0.005022020453240549
39.0,0.004457841999979652
40.0,0.008228991504413738
41.0,0.005783462723182652
42.0,0.007106720132673761
43.0,0.005072138591812223
44.0,0.004518754433327293
45.0,0.004770296382949618
46.0,0.0034514901007904396
47.0,0.003438986681212036
48.0,0.004294639287475029
49.0,0.0031664904679521455
50.0,0.003101735887963144
51.0,0.0027454510775172863
52.0,0.002286412219029901
53.0,0.0030994203117681285
54.0,0.0027316006241613314
55.0,0.0017816396323791527
56.0,0.0018024242805767903
57.0,0.0003778664714355
58.0,0.001028320173987
59.0,0.000567483211955
60.0,0.0005438637975881
